company_id,company_name,city,registration_date,revenue,net_profit,authorized_capital,inn,contracts_count,customer_sum,supplier_sum,inspections_count,inspections_violations,inspections_knm,plaintiff_cases,defendant_cases,licenses_count,trademarks_count,branches_count,representatives_count,property_form_numeric,company_type_numeric
1027739001993-koncern-vko-almaz-antey,"""КОНЦЕРН ВКО ""АЛМАЗ - АНТЕЙ""",Москва,1995-01-16,,,235000.0,7731084175.0,3809.0,30600000000.0,87000000000.0,46.0,12.0,28.0,121.0,393.0,10.0,25.0,,,1.0,1
1037709026080-tekhnologicheskaya-kompaniya-shlyumberzhe,"""ТЕХНОЛОГИЧЕСКАЯ КОМПАНИЯ ШЛЮМБЕРЖЕ""",Тюмень,2003-03-20,26900000000.0,4300000000.0,235000.0,7709413265.0,65.0,0.0,3400000000.0,37.0,17.0,59.0,53.0,64.0,6.0,23.0,20.0,0.0,7.0,2
1185835003221,"""ФНПЦ ""ПО ""СТАРТ"" ИМ. М.В. ПРОЦЕНКО""",Заречный,2018-03-01,,,235000.0,5838013374.0,4971.0,20600000000.0,191300000.0,35.0,4.0,119.0,114.0,64.0,27.0,3.0,1.0,0.0,2.0,1
1196658022208-uehmz,"""УЭМЗ""",Екатеринбург,2019-03-26,,,235000.0,6670480610.0,3004.0,14700000000.0,29100000.0,8.0,4.0,44.0,73.0,57.0,13.0,,1.0,0.0,2.0,1
1026600930630-upkb-detal,"""УПКБ ""ДЕТАЛЬ""",Каменск-Уральский,2002-09-30,,,235000.0,6612011546.0,2536.0,7900000000.0,161500000.0,92.0,45.0,42.0,28.0,2.0,8.0,1.0,,,4.0,1
1116234013598-grpz,"""ГРПЗ""",Рязань,2011-12-20,,,235000.0,6234098539.0,3460.0,107300000000.0,4200000000.0,90.0,34.0,44.0,46.0,27.0,18.0,9.0,1.0,0.0,4.0,1
1085543005976-ckba,"""ЦКБА""",Омск,2008-01-31,,,235000.0,5506202219.0,4203.0,18600000000.0,738600000.0,33.0,13.0,103.0,61.0,11.0,9.0,6.0,,,1.0,1
1027700055360-gazprom-avtomatizaciya,"""ГАЗПРОМ АВТОМАТИЗАЦИЯ""",Москва,1993-08-05,26800000000.0,3600000000.0,235000.0,7704028125.0,487.0,0.0,58100000000.0,31.0,15.0,19.0,105.0,65.0,14.0,1.0,2.0,0.0,11.0,3
1097746763102-npp-salyut,"""НПП ""САЛЮТ""",Москва,2009-12-01,,,235000.0,7720673002.0,2984.0,11500000000.0,2400000000.0,26.0,14.0,46.0,29.0,14.0,6.0,4.0,,,4.0,1
1120280026130-uppo,"""УППО""",Уфа,2012-06-25,,,235000.0,276140862.0,3497.0,15000000000.0,164200000.0,32.0,18.0,38.0,55.0,17.0,8.0,1.0,1.0,0.0,2.0,1
